Symbol,Value I,Value II,Presision,Description,Note,Measurment,Replacement
R25,0.098 Ω,½ W,½ %,Wirewound,,0.2 Ω,
R26,0.9 Ω,1 W,½ %,Wirewound,,0.9 Ω,
R27,9 Ω,½ W,½ %,Metal Film,,9.1 Ω,
R28,90 Ω,½ W,½ %,Metal Film,,89.9 Ω,
R34,470 kΩ,½ W,5 %,Metal Film,,.460 MΩ,
R46,100 kΩ,5 W,10 %,Metal Glaze,,2.388 kΩ,
R47,2 kΩ,,40 %,High Voltage Current Limiter,,2.4 kΩ,
R49,2.5 kΩ,,,Trimpot,,2.09 kΩ,
R52,100 kΩ,,,Trimpot,,1.9 kΩ,
R53,500 Ω,,,Trimpot,,0.541 kΩ,
R54,500 Ω,,,Trimpot,,0.551 kΩ,
R55,500 Ω,,,Trimpot,,0.502 kΩ,
R56,8.87 kΩ,¼ W,1 %,Metal Film,,5.41 kΩ,
R218,100 kΩ,,,Multi-turn Potentiometer,,104.2 kΩ,
C1,100 pF,500 V,10 %,Preformed Ceramic Disc,,.122 nF,
C2,100 pF,500 V,10 %,Preformed Ceramic Disc,,.114 nF,
C3,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,11.6 nF,
C4,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,16.43 nF,
C5,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,14.1 nF,
C6,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,11.0 nF,
C7,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,11.9 nF,
C8,.01 µF,100 V,-20/+80 %,Preformed Ceramic Disc,,-,
C9,.001 µF,1 kV,10 %,Preformed Ceramic Disc,,1.079 nF,
C10,.022 µF,1 kV,20 %,Preformed Polyester,,20.9 nF,
C11,470 µF,25 V,,Electrolytic,,569 µF,475 µF
C12,470 µF,25 V,,Electrolytic,,577 µF,477 µF
C13,1.5 µF,100 V,,Preformed Polyester,,1.559 µF,
C14,.0033 µF,100 V,20 %,Preformed Polyester,,2.00 nF,
C15,.047 µF,100 V,10 %,Polyester,,48.7 nF,
C16,10 µF,16 V,20 %,Preformed Tantalum,,10.78 µF,
C17,10 µF,16 V,20 %,Preformed Tantalum,,10.84 µF,
C18,15 µF,10 V,20 %,Preformed Tantalum,,16.26 µF,
C19,220 µF,10 V,,Electrolytic,,302 µF,227 µF
C201,330 pF,500 V,10 %,Pin Lead Ceramic Disc,,.342 nF,
C202,.005 µF,500 V,20 %,Pin Lead Ceramic Disc,,4.33 nF,
D1,1 A,600 V,,Diode,,.593 V,
D2,1 A,600 V,,Diode,,.581 V,
D3,1 A,600 V,,Diode,,.575 V,
D4,1 A,600 V,,Diode,,.578 V,
D5*,,,,Protection Silicon,,.100 V,
D6*,,,,Protection Silicon,,.100 V,
D7*,,,,Silicon Low Leakage,,.113 V,
D8,,,,1N4007,,.576 V,
D9,1 W,6.2 V,5 %,1N4735A Zener,,.646 V,.655 V
D10,,4.3 V,,1N749A Zener,,.612 V,
D11,,6.4V,,1N4565 Reference Zener,,1.382 V / 1.888 V,
Q1,,,,2N5818 Silicon,,,
Q2,,,,2N5818 Silicon,,,
Q3,,,,2N5818 Silicon,,,
Q4,,,,2N5818 Silicon,,,
Q5,,,,2N5818 Silicon,,,
Q7*,,,,FET N-Channel Clamp Diode,E2408,0.140 V,0.652 V
Q8,,,,FET N-Channel Clamp Diode,,0.638 V,
Q9,,,,FET N-Channel Clamp Diode,,0.621 V,
Q10,,,,FET P-Channel,,,
IC1,,,,CA3130 FET Op Amp,,,
IC2,,,,IC324 Quad Op Amp,,,
IC3,,,,IC301 Op Amp,,,
IC4,,,,CA3130 FET Op Amp,,,
IC5,,,,CA3081 Transistor Array,,,
IC6,,,,AY-5-3507,,,
IC7,,,,IC4001 Quad Gates,,,
IC8,,,,IC4016 Quad Bilateral Switch,,,
RN1,,,,Resistor Network Input,,,
RN2,,,,Resistor Network Display,,,
RN3,,,,Resistor Network,,,
RN4,,,,Resistor Network,,,
T1,,,,Power Transformer,GHI RMS,13.4 V,
T1,,,,Power Transformer,PQR RMS,12.2 V,
S1,,,,Switch Function,,,
S2,,,,Switch Range,,,
F1,1/8 A,,,3AG Pigtail,,,
F1,1/16 A,,,3AG Pigtail (240 V),,,
F2,2 A,,,3AG,,,
,,,,Voltage between F and J,,,
